,Suç türü:1. (Öldürme),Suç türü:10. (Mala Zarar Verme),Suç türü:18. (Sahtecilik),Suç türü:2. (Yaralama),Suç türü:26. (Dolandırıcılık),Suç türü:3. (Cinsel Suçlar),Suç türü:31. (Uyuşturucu Veya Uyarıcı Madde İmal Ve Ticareti),Suç türü:4. (Tehdit),Suç türü:8. (Hırsızlık),Suç türü:9. (Yağma (Gasp))
2006,1917,,1735,6945,11460,886,2198,,6603,1111
2007,3070,,2129,9551,13374,872,4163,,7531,2374
2008,3447,,1854,7802,12295,986,4164,,6933,2543
2009,1514,,1593,7647,10822,562,1576,,5758,1145
2010,2958,,2059,8400,11434,909,3139,,6527,1798
2011,3484,,2077,7885,1103,828,2811,,6445,2225
2012,6434,,3854,15305,1926,2258,6162,,11958,3667
2013,6534,3523,6492,29818,2463,4143,9177,5494,22343,4877
2014,8887,2450,7137,24806,3631,5534,11672,6728,29907,8012
2015,8303,2308,6336,23730,3780,5340,12143,7808,30093,10045
2016,7444,2428,7787,23586,5179,5509,14515,9635,31657,9693
2017,8048,2178,8566,26539,5745,5176,15568,8235,37224,12285
2018,9332,2721,8990,33013,8006,5774,17902,11038,45420,15309
2019,9574,2884,8493,34897,7947,5800,19748,14235,42752,13300
2020,6080,2338,6650,40445,8958,4890,12241,9216,39279,7349